Start,End, 11  car , 11  truck , 11  motorbike , 11  van , 11  bus , 12  car , 12  truck , 12  motorbike , 12  van , 12  bus , 13  car , 13  truck , 13  motorbike , 13  van , 13  bus , 14  car , 14  truck , 14  motorbike , 14  van , 14  bus , 15  car , 15  truck , 15  motorbike , 15  van , 15  bus , 21  car , 21  truck , 21  motorbike , 21  van , 21  bus , 22  car , 22  truck , 22  motorbike , 22  van , 22  bus , 23  car , 23  truck , 23  motorbike , 23  van , 23  bus , 24  car , 24  truck , 24  motorbike , 24  van , 24  bus , 25  car , 25  truck , 25  motorbike , 25  van , 25  bus , 31  car , 31  truck , 31  motorbike , 31  van , 31  bus , 32  car , 32  truck , 32  motorbike , 32  van , 32  bus , 33  car , 33  truck , 33  motorbike , 33  van , 33  bus , 34  car , 34  truck , 34  motorbike , 34  van , 34  bus , 35  car , 35  truck , 35  motorbike , 35  van , 35  bus , 41  car , 41  truck , 41  motorbike , 41  van , 41  bus , 42  car , 42  truck , 42  motorbike , 42  van , 42  bus , 43  car , 43  truck , 43  motorbike , 43  van , 43  bus , 44  car , 44  truck , 44  motorbike , 44  van , 44  bus , 61  car , 61  truck , 61  motorbike , 61  van , 61  bus , 62  car , 62  truck , 62  motorbike , 62  van , 62  bus , 63  car , 63  truck , 63  motorbike , 63  van , 63  bus , 64  car , 64  truck , 64  motorbike , 64  van , 64  bus , 51  car , 51  truck , 51  motorbike , 51  van , 51  bus , 52  car , 52  truck , 52  motorbike , 52  van , 52  bus , 53  car , 53  truck , 53  motorbike , 53  van , 53  bus ,1WE,1EW,3EW,3WE,1NS,1SN,3SN,3NS,EAST,WEST
02:30:00,02:45:00,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:15:00,03:30:00,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:30:00,03:45:00,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:45:00,04:00:00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,04:15:00,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:15:00,04:30:00,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:30:00,04:45:00,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:45:00,05:00:00,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:00:00,05:15:00,0,0,0,0,0,2,0,0,0,0,5,2,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,4,3,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:15:00,05:30:00,1,1,0,0,0,2,0,0,1,0,6,0,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,0,9,1,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:30:00,05:45:00,0,0,0,0,0,0,0,0,6,0,16,2,0,2,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:45:00,06:00:00,0,0,0,0,0,3,0,0,7,0,34,0,0,1,0,14,2,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,1,0,2,0,0,0,0,2,0,8,0,1,0,0,2,1,1,0,0,6,2,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:00:00,06:15:00,0,0,0,0,0,2,2,0,11,0,44,4,0,0,0,18,1,0,2,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,4,0,0,0,0,9,0,0,1,0,0,0,0,4,0,6,2,0,2,0,3,0,1,0,0,5,2,0,0,0,7,0,0,0,0,1,0,0,0,0,4,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
06:15:00,06:30:00,0,1,0,0,0,1,1,0,15,0,55,8,1,1,0,45,3,0,0,0,12,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,11,0,1,3,0,2,0,0,7,0,13,0,1,2,0,6,1,0,0,0,14,1,0,0,0,21,0,0,0,0,1,0,0,0,0,6,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
06:30:00,06:45:00,2,2,0,0,0,8,5,0,14,0,54,23,0,0,0,69,3,1,0,0,32,2,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,27,3,1,2,0,3,0,1,9,0,12,1,0,1,0,3,3,0,0,0,13,0,0,0,0,18,0,0,1,0,1,0,0,0,0,3,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
06:45:00,07:00:00,1,3,0,0,0,10,1,1,27,0,83,20,0,0,0,103,1,0,1,0,43,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,3,0,0,8,0,2,2,0,33,1,2,2,0,2,2,1,15,0,15,3,0,0,0,15,1,2,0,0,21,3,0,1,0,39,1,0,0,0,3,0,0,0,0,6,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,2,0
07:00:00,07:15:00,1,0,0,0,0,14,2,0,25,0,88,16,0,1,0,93,3,0,0,0,39,8,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,10,0,0,1,0,11,0,0,0,0,36,6,3,2,0,3,3,0,12,0,16,12,0,0,0,13,4,0,0,0,19,2,0,0,0,34,1,0,0,0,6,1,0,0,0,8,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
07:15:00,07:30:00,5,3,0,0,0,21,3,0,22,0,103,17,0,0,0,118,4,0,0,0,50,6,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,2,0,18,0,0,1,0,36,4,2,4,0,2,5,1,20,0,21,8,0,0,0,19,1,2,3,0,35,4,0,0,0,35,2,0,0,0,6,1,0,0,0,18,2,0,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
07:30:00,07:45:00,4,3,0,0,0,9,3,1,28,0,96,14,1,2,0,85,4,0,1,0,58,5,0,1,0,12,0,0,0,0,3,0,0,0,0,7,1,0,0,0,18,0,1,1,0,19,0,0,2,0,64,8,0,4,0,4,2,3,12,0,32,8,0,0,0,41,3,0,1,0,19,2,0,1,0,36,2,0,0,0,7,0,0,0,0,13,1,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
07:45:00,08:00:00,5,4,0,0,0,14,2,0,25,0,90,17,0,3,0,100,1,0,0,0,58,4,1,0,0,15,0,0,0,0,1,0,0,0,0,15,0,0,1,0,12,0,0,1,0,30,0,0,1,0,76,3,3,1,0,5,0,3,19,0,31,9,0,0,0,40,1,0,0,0,40,2,0,0,0,47,2,0,1,0,13,0,0,0,0,28,1,0,1,0,14,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0
08:00:00,08:15:00,3,1,0,0,0,28,3,4,17,0,106,17,1,0,0,115,8,0,3,0,63,5,0,2,0,18,0,0,0,0,0,0,0,0,0,20,0,0,2,0,22,1,1,2,0,30,1,0,0,0,69,1,3,4,0,8,0,4,19,0,42,9,0,0,0,51,0,0,0,0,27,2,0,0,0,62,1,0,0,0,14,0,0,0,0,35,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0
08:15:00,08:30:00,2,4,0,0,0,16,5,6,29,0,125,15,0,2,0,140,7,0,0,0,57,5,0,0,0,26,0,0,0,0,0,0,0,0,0,21,0,0,0,0,19,0,2,0,0,39,1,0,0,0,78,4,3,2,0,8,0,4,17,0,41,9,0,0,0,53,0,1,0,0,42,4,0,0,0,55,2,1,0,0,18,1,0,0,0,42,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1
08:30:00,08:45:00,3,1,0,0,0,24,3,3,19,0,106,25,5,4,0,138,8,1,1,0,52,10,0,0,0,20,0,0,0,0,0,0,0,0,0,25,1,1,0,0,16,1,1,1,0,35,0,1,0,0,93,3,3,2,0,4,3,3,18,0,56,5,0,0,0,56,2,0,0,0,25,5,0,0,0,17,3,0,0,0,7,0,0,0,0,28,0,0,0,0,17,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0
08:45:00,09:00:00,5,1,0,0,0,21,5,4,23,0,113,12,2,0,0,104,7,0,0,0,51,5,0,0,0,15,1,0,0,0,2,0,0,0,0,20,0,0,0,0,11,0,0,1,0,22,0,0,2,0,76,6,1,6,0,8,3,1,24,0,39,4,2,1,0,57,2,1,0,0,36,3,0,0,0,7,6,0,0,0,6,0,0,0,0,23,4,3,1,0,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0
09:00:00,09:15:00,2,4,0,0,0,15,2,3,24,0,102,16,1,0,0,115,2,0,0,0,70,7,1,1,0,17,0,0,0,0,2,0,0,0,0,22,0,0,0,0,16,0,1,2,0,18,0,2,1,0,64,7,2,2,0,15,1,1,14,0,46,4,2,0,0,54,3,2,0,0,31,0,1,0,0,10,1,0,0,0,8,0,0,0,0,29,4,1,1,0,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,1
09:15:00,09:30:00,9,4,0,0,0,22,1,6,23,0,88,13,3,0,0,106,3,4,0,0,73,4,1,0,0,16,0,0,0,0,7,1,0,0,0,16,1,0,0,0,7,2,0,2,0,26,0,0,1,0,88,2,5,2,0,7,2,2,19,0,42,9,0,1,0,50,2,0,0,0,41,2,0,0,0,12,3,0,0,0,6,1,0,0,0,15,4,0,1,0,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
09:30:00,09:45:00,16,2,0,0,0,28,1,4,22,0,116,15,2,1,0,127,5,2,0,0,61,2,1,1,0,7,0,0,0,0,0,0,0,0,0,15,1,0,1,0,14,0,0,1,0,20,0,0,0,0,90,11,3,2,0,8,2,1,19,0,53,1,0,0,0,48,0,2,0,0,27,1,0,0,0,10,6,0,0,0,10,1,4,0,0,15,4,0,1,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
09:45:00,10:00:00,7,6,0,0,0,25,3,4,19,0,117,8,1,0,0,117,3,3,0,0,56,6,1,1,0,12,0,0,0,0,0,0,0,0,0,17,1,0,2,0,22,0,0,2,0,28,0,0,0,0,96,6,5,3,0,7,1,0,21,0,40,5,3,0,0,48,2,0,1,0,44,1,2,0,0,7,7,0,0,0,7,2,0,0,0,11,9,0,1,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
10:00:00,10:15:00,8,1,0,0,0,27,4,3,18,0,87,11,2,0,0,77,6,2,0,0,67,3,0,0,0,7,1,0,0,0,1,0,0,0,0,17,2,0,0,0,14,1,0,1,0,20,10,0,2,0,77,5,2,1,0,10,3,0,20,0,37,4,0,0,0,42,0,0,0,0,32,2,1,0,0,3,7,0,0,0,6,0,0,0,0,22,7,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10:15:00,10:30:00,13,0,0,0,0,16,1,3,13,0,81,8,2,0,0,80,6,1,1,0,70,3,1,1,0,13,1,0,0,0,0,0,0,0,0,24,1,0,1,0,20,0,0,1,0,28,0,0,1,0,68,3,2,4,0,6,1,0,15,0,48,3,1,0,0,44,5,0,0,0,52,1,0,0,0,4,15,0,0,0,5,1,0,0,0,16,7,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0
